,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
10,Cold - Remix,Cold (Remix),Maroon 5,2017-05-05,219110,43,0.792,0.155,0.792,0.709,0.0,0.0936,-4.505,0.0752,99.98,4,"1. The Kid LAROI - Stay (with Justin Bieber)
2. Olivia Rodrigo - drivers license
3. Dua Lipa - Levitating (feat. DaBaby)
4. Doja Cat - Kiss Me More (feat. SZA)
5. Lil Nas X - INDUSTRY BABY (feat. Jack Harlow)
6. Justin Bieber - Peaches (feat. Daniel Caesar & Giveon)
7. Glass Animals - Heat Waves
8. Olivia Rodrigo - good 4 u
9. SZA - Good Days
10. Adele - Easy On Me
11. Billie Eilish - Happier Than Ever
12. Silk Sonic, Bruno Mars & Anderson .Paak - Leave The Door Open
13. Ed Sheeran - Bad Habits
14. Lil Nas X - MONTERO (Call Me By Your Name)
15. Måneskin - Beggin'
16. The Kid LAROI - WITHOUT YOU
17. Giveon - Heartbreak Anniversary
18. Taylor Swift - All Too Wеll (10 Minute Version) (Taylor's Version) (From Thе Vault)
19. The Weeknd - Save Your Tears (with Ariana Grande) (Remix)
20. Rauw Alejandro - Todo De Ti
21. Polo G - RAPSTAR
22. Kali Uchis - telepatía
23. LISA - MONEY
24. Doja Cat - Need to Know
25. Ed Sheeran - Shivers
26. Farruko - Pepas
27. BTS - Butter
28. Travis Scott & HVME - Goosebumps (Remix)
29. Masked Wolf - Astronaut In The Ocean
30. Justin Bieber - Hold On
31. CKay - love nwantiti (ah ah ah)
32. Coldplay & BTS - My Universe
33. Tiësto - The Business
34. Cardi B - Up
35. Elton John & Dua Lipa - Cold Heart (PNAU Remix)
36. Maroon 5 - Beautiful Mistakes (feat. Megan Thee Stallion)
37. Pink Sweat$ - At My Worst
38. Blxst & Tyga - Chosen (feat. Ty Dolla $ign)
39. Lil Tjay & 6LACK - Calling My Phone
40. Shouse - Love Tonight (Edit)
41. PinkPantheress - Just for me
42. Kanye West - Hurricane (with The Weeknd & Lil Baby)
43. THE ANXIETY, WILLOW & Tyler Cole - Meet Me At Our Spot
44. Saweetie - Best Friend (feat. Doja Cat)
45. GAYLE - abcdefu
46. Bella Poarch - Build A Bitch
47. Zoe Wees - Girls Like Us
48. WizKid - Essence (feat. Justin Bieber & Tems)
49. Sleepy Hallow - 2055
50. Nightcrawlers, Riton, Mufasa & Hypeman - Friday (Dopamine Re-Edit)EmbedShare URLCopyEmbedCopy"
11,Music Sounds Better with You,Music Sounds Better with You,NEIL FRANCES,2017-07-21,198305,73,0.935,0.275,0.935,0.526,0.238,0.0673,-8.256,0.0645,118.009,4,"(repeated ad infinitum)
Ooh, baby
I feel like music sounds better with you
Love might bring us back together
I feel so good
I feel like music sounds better with you
Love might bring us back togetherEmbedShare URLCopyEmbedCopy"
12,Because You Move Me - Extended Mix,Because You Move Me,Tinlicker,2017-08-04,439000,43,0.883,0.471,0.883,0.371,0.0167,0.109,-9.807,0.187,123.054,4,
13,Around The Sun,Low Season,Poolside,2020-02-07,234493,60,0.729,0.0896,0.729,0.628,0.0303,0.0956,-5.127,0.0323,110.011,4,"Another year around the sun
Guess I've just been havin' fun
Just another year around the sun
Making it through

Lay in bed at the end of the day
Got nobody to tell I'm okay
Forget the rules of the games we play
But that's fine, mm
People say that I've lost my mind
I've got nothin' to lose and nothin' to find
They might say that I'm the losin' kind, but that's fine, ooh

Another year around the sun
Guess I've just been havin' fun
Just another year around the sun
Making it through
Another year around the sun
Guess I've just been havin' fun
Just another year around the sun
Making it through

Make it, make it, make it through
Make it, make it, make it through
Make it, make it, make it through
Another year around the sun
Guess I've just been havin' fun
Just another year around the sun
Making it through
Another year around the sun
Guess I've just been havin' fun
Just another year around the sun
Making it through

Oh yeah, making it through
Oh yeah, making it through
Making it throughEmbedShare URLCopyEmbedCopy"
14,Oh My God,30,Adele,2021-11-19,225148,94,0.534,0.091,0.534,0.725,0.0,0.0264,-3.906,0.046,88.098,4,"I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy, you give good love, I won't lie
It's what keeps me comin' back even though I'm terrified

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight
I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Oh, Lord)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Don't let me let myself down)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Oh, my God)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Oh, oh-oh-oh, oh-oh-oh)
Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I say, ""Lord, don't let me""
I say, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)8EmbedShare URLCopyEmbedCopy"
15,Voodoo?,Tako Tsubo,L'Impératrice,2021-03-26,255746,55,0.871,0.0858,0.871,0.379,0.141,0.0689,-10.751,0.0752,107.961,4,"I'm not being cranky
I just hate this party
Think I might as well
Spend a night in hell
Reading torture magazine
Than pretending I'm one of you
They move wild and carefree
As hip as hip can be
I think I should split
But wait a minute
I feel something in my knees
Is it music or new voodoo?

Can I resist this?
Am I off my head, what's shaking my hips?
Can I resist this?
It's the kind of beat I just can't dismiss

It's too early for me
I can't set myself free
Can we sit aside
I'm not qualified
I'm the worst you've ever seen
I'm as groovy as a bamboo
Air crawling in air sea
I feel all eyes on me
They have so much grace
And I'm out of place
Why am I feeling like a queen?
Is it music or new voodoo?
Can I resist this?
Am I off my head, what's shaking my hips?
Can I resist this?
It's the kind of beat I just can't dismissEmbedShare URLCopyEmbedCopy"
16,Borderline,The Slow Rush,Tame Impala,2020-02-14,237800,80,0.621,0.0406,0.621,0.873,9.1e-06,0.0824,-3.067,0.0369,97.96,4,"Gone a little far
Gone a little far this time with something
How was I to know?
How was I to know this high came rushing?

We're on the borderline
Dangerously fine and unforgiven
Possibly a sign
I'm gonna have the strangest night on Sunday

Here I go
Quite a show for a loner in L.A.​
I wonder how I managed to end up in this place
Where I couldn't get away

We're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train
Like a train

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)
Gone a little far
Gone a little far this time with something
Rudy said it's fine
They used to do this all the time in college (If you and I get comfortable)

And we're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)11EmbedShare URLCopyEmbedCopy"
17,Heart On Your Sleeve,Dear Amoré,DEVIN MØRE,2019-06-21,242990,46,0.723,0.607,0.723,0.68,2.68e-05,0.108,-5.45,0.0465,127.968,4,"You talk like you don't need me
Walk like you don’t need me
But deep inside, yeah, deep inside
Want me to fall, for you

You talk like you don't need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you
You talk like you don’t need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you

She told me you don't even know me
I'm not lonely, I said listen closely
What you need is hard to read
I won't be the heart on your sleeve

She said alright
Then went to the bar high
On the car ride
She asked if her bar's high
Honestly, what you need
I can't be the heart on your sleeve
Want you to fall, fall
Want you to fall, fall, fall, fall
You talk like you don't need me
Walk like you don’t need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you
You talk like you don’t need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you

I’m too deep, she gon' end up lonely
She can't sleep when her mind is on me
Can't believe she’d make a scene
Showing me the things I don't need

She said alright
Then then went to the bar high
On the car ride
She asked if her bar's high
Honestly, what you need
I can't be the heart on your sleeve
Want you to fall, fall
Want you to fall, fall, fall, fall
You talk like you don't need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you
You talk like you don't need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you

You talk like you don't need me
Walk like you don't need me
But deep inside, yeah, deep inside
Want me to fall, want someone that could fall for you
FallEmbedShare URLCopyEmbedCopy"
18,Eternal Summer,The New Abnormal,The Strokes,2020-04-10,375320,66,0.617,0.0141,0.617,0.78,0.0112,0.0833,-4.466,0.0376,93.951,4,"This, and I never let it happen
Hey, yeah, oh
Hey, yeah, oh

When I think of you
It's always on my mind
Is that story true?
No one saves the day (Hey, yeah, oh)
Don't you want the truth?
Ignore reality
See, I love that feeling too
Nobody's gonna stop right now (Hey, yeah, oh)

Summer is coming, won't go away
Summer is coming, it's here to stay (Hey, yeah, oh)

I can't believe it
This is the eleventh hour
Psychedelic
Life is such a funny journey
Hercules, your service is no longer needed
It's just like make-believe (Hey, yeah, oh)
They got the remedy
But they won't let it happen
Yeah, they got the remedy
But they won't let it happen (Hey, yeah, oh)
(Hey, yeah, oh)

Now that you heard the truth
All I need a friendly face
I hate that feeling too
But no one's unafraid (Hey, yeah, oh)
Don't expect the truth
This is a fantasy
I fight that feeling too
But nobody's gonna stop us now (Hey, yeah, oh)

Summer is coming, won't go away
Summer is coming, it's here to stay (Hey, yeah, oh)
Lo and behold the salt of the city
Pillars like time are fading away
Symphony building up to a future
Mystery to solve for somebody else (Hey, yeah, oh)

I can't believe it
Life is such a funny journey
Psychedelic
This is the eleventh hour
Hercules, your service is no longer needed
It's just like make-believe
They got the remedy
But they won't let it happen
Yeah, they got the remedy
But they won't let it happen

Everybody's on the take
Tell me, are you on the take too?
Everybody's on the take
Tell me, are you on the take too?
(Hey, yeah, oh)
(Hey, yeah, oh)
(Hey, yeah, oh)
Look up on the bright side
I'm not gonna give it to ya
Look at it on the bright side (Hey, yeah, oh)
Look up on the bright side
I'm not gonna give it to ya
Look at it on the bright side (Hey, yeah, oh)
Look up on the bright side
I'm not gonna give it to ya
Look at it on the bright side (Hey, yeah, oh)
Look up on the bright side
I'm not gonna give it to ya
Look at it on the bright side (Hey, yeah, oh)11EmbedShare URLCopyEmbedCopy"
19,Wait a Minute!,ARDIPITHECUS,WILLOW,2015-01-11,196520,85,0.764,0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0.0278,101.003,4,"Wait a minute
I think I left my conscience on your front doorstep, oh oh
Wait a minute
I think I left my consciousness in the sixth dimension
But I'm here right now, right now
(Right now, right now)
Just sitting in a cloud, oh wow
I'm here right now, right now with you, oh wow, oh wow
(Right now, with you)
I don't even care
I’ll run my hands through your hair
You wanna run your fingers through mine
But my dreads too thick and that's alright

Hold on, wait a minute
Feel my heart's intention, oh
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, oh, oh
Let's go get it, oh, oh

Some tings don't work
Some tings are bound to be
Some tings, they hurt
And they tear apart me
You left your diary at my house
And I read those pages, do you really love me, baby
Some tings don't work
Some tings are bound to be
Some tings, they hurt
And they tear apart me
But I broke my word, and you were bound to see
And I cried at the curb
When you first said ""Oel ngati kameie""
Hold on, wait a minute (Oh)
Feel my heart's intention
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, oh, oh
Let's go get it, oh, oh

Some people like to live
Some just tryin' to get by
Some people I like that hurt
Some just rather say goodbye, bye

Hold on, wait a minute
Feel my heart's intention
Hold on, wait a minute
I left my consciousness in the sixth dimension
Left my soul in his vision
Let's go get it, ah, ah
Let's go get it, ah, ah
(Ahh, ooh)
(Ahh, ooh)
(Ahh, ooh)58EmbedShare URLCopyEmbedCopy"
20,breathin,Sweetener,Ariana Grande,2018-08-17,198160,76,0.568,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,100.049,4,"​​lacigam gnihtemos od oT
​​thgin laiceps ruoy s'thginot tuB

Some days, things just take
Way too much of my energy
I look up and the whole room's spinning
You take my cares away
I can so over-complicate, people tell me to medicate

Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated, mmm
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin', mmm-mmm

Sometimes it's hard to find
Find my way up into the clouds
Tune it out, they can be so loud
You remind me of a time
When things weren't so complicated
All I need is to see your face
Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated, mmm
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

My, my air, my, my air
My, my air, my air
My, my air, my, my air
My, my air, yeah

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

Feel my blood runnin', swear the sky's fallin', oh, whoa
I keep on breathin', oh yeah
Time goes by and I can't control my mind
I keep on breathin', mmm, yeah168EmbedShare URLCopyEmbedCopy"
21,Buenos Genes,Flakk Daniel's Lp,Rels B,2018-04-06,245190,73,0.804,0.486,0.804,0.535,0.0,0.108,-8.603,0.143,151.957,4,"Ehh

Juro que a partir de hoy no voy a hacerte daño
Estoy seguro de que es el momento
Creo que he vivido muchos años dando
Palos como un ciego malgastando el tiempo
Siento si me enfado si la cago pero
Sabes que es difícil la vida que tengo
Solo necesito que me creas ya no soy
El niño tonto que era en esos tiempos

Me va a doler , ey, yeah
Si me dices que te vuelves con él
Me va a doler, ey, yeah
Te prometo que lo voy a hacer bien
Me va a doler , ey, yeah
Si me dices que te vuelves con él
Me va a doler, ey, yeah
Te prometo que lo voy a hacer bien, bien, bien, bien

Ay-ay-ay-ay-ay
Tan bonita que duele, pero que buenos genes
Mi gitana
Ay-ay-ay-ay-ay
Yo no sé lo que tienes, pero como me tienes
Mi gitana
Ay-ay-ay-ay-ay
Tan bonita que dueles, pero que buenos genes
Mi gitana
Ay-ay-ay-ay-ay
Yo no sé lo que tienes, pero como me tienes
Mi gitana...
Tu me conoce'
Sabes de dónde vengo
Aquí no importa el talento (Yeah)
Lo que importa es la libertad (No)
No tener malo adentro, tenerlo en condicional, ay
No, no, no, no, no, no (No)
Contigo yo vuelo sin monta' en avión (No)
No, no, no, no, no, no, no, no, no, no
(Que la vida bendiga a la ma'e que te parió)
Prima tu tiene' mi luz no me la pueden quita'
Me tienen que meter adentro
Me tienen que dispara'
Ya pensé en la situación
Se que es un poco especial
Pero estoy con la gestión pa' poder solucionar
To' este guiso, ehh
Pa' que nos separen tiene que ser grande e'r juicio
Pa' que nos separen tiene que ser cosa seria
Deje que se lo explique mi Danielito Heredia

Juro que a partir de hoy no voy a hacerte daño
Estoy seguro de que es el momento (Es el momento)
Creo que he vivido muchos años dando
Palos como un ciego malgastando el tiempo (El tiempo)
Siento si me enfado si la cago pero
Sabes que es difícil la vida que tengo (Que tengo)
Solo necesito que me creas ya no soy
El niño tonto que era en esos tiempos (Tiempos)
Me va a doler , ey, yeah
Si me dices que te vuelves con él
Me va a doler, ey, yeah
Te prometo que lo voy a hacer bien, bien, bien, bien

Ay-ay-ay-ay-ay
Tan bonita que duele, pero que buenos genes
Mi gitana
Ay-ay-ay-ay-ay
Yo no sé lo que tienes, pero como me tienes
Mi gitana
Ay-ay-ay-ay-ay
Tan bonita que dueles, pero que buenos genes
Mi gitana
Ay-ay-ay-ay-ay
Yo no sé lo que tienes, pero como me tienes
Mi gitana...1EmbedShare URLCopyEmbedCopy"
22,Soliá,YHLQMDLG,Bad Bunny,2020-02-29,159282,77,0.71,0.117,0.71,0.81,0.000132,0.154,-5.507,0.0854,92.041,4,"Llegó soliá, salió sin la' amiga'
Revelá', en el alcohol buscando una salida
De esa relación de mentira
Mami, ya vi cómo me miras
Te lo repito por si se te olvida
Envíale un mensaje que diga

Que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
De mi parte le dice' que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
Eh, eh, eh, eh

Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh
Hoy quiere bailar la noche entera, eh
Está casi soltera
No le presento a nadie, eso le da flojera
Total, al final de la noche ella tiene lo que quiera
La luna ya le indicó
Subió algo pa'l story, alguien se picó
Sonó su canción y se la dedicó
Dice que quiere hacerlo conmigo rico, eh
Que lo' cristale' se empañen
La nena está grande, como pa' que alguien la regañe
La noche no le dañe, eh
Que la Kardashian ya no está pa' Kanye
Han sido mucha' decepcione', eh
Mentira' de to' esto' cabrone', eh
Una ve' má' le fallaron
Daría una oportunida', pero se le acabaron

Llegó soliá, salió sin la' amiga'
Revelá', en el alcohol buscando una salida
De esa relación de mentira
Mami, ya vi cómo me miras
Te lo repito por si se te olvida
Envíale un mensaje que diga
Que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
De mi parte le dice' que no te deje sola
Porque puede perderte
Si algún día vuelve a verte15EmbedShare URLCopyEmbedCopy"
23,Hypnotized,Mystery to Me,Fleetwood Mac,1973-10-15,289200,54,0.437,0.494,0.437,0.54,0.00478,0.0815,-15.797,0.0469,162.236,3,"It's the same kind of story
That seems to come down from long ago
Two friends having coffee together
When something flies by their window
It might be out on that lawn
Which is wide, at least half of a playing field
Because there's no explaining
What your imagination can make you see and feel

Seems like a dream
They got me hypnotized

Now it's not a meaningless question
To ask if they've been and gone
I remember a talk about North Carolina
And a strange, strange pond
You see the sides were like glass
In the thick of a forest without a road
And if any man's hand ever made that land
Then I think it would've showed

That's why it seems like a dream
They got me hypnotized
I know that's right

Seems like a dream
They got me hypnotized

They say there's a place down in Mexico
Where a man can fly over mountains and hills
And he don't need an airplane or some kind of engine
And he never will
Now you know it's a meaningless question to ask
If those stories are right
Because what matters most
Is the feeling you get when you're hypnotized

Seems like a dream
They got me hypnotized
Seems like a dream
They got me hypnotized
Seems like a dream
They got me hypnotized
Yeaaaaahhhh, that's when, that's when they got you hypnotized
Seems like a dream
They got me hypnotized
Seems like a dream
Seems like a dream
They got me hypnotized2EmbedShare URLCopyEmbedCopy"
24,Harness Your Hopes - B-side,Brighten the Corners: Nicene Creedence Ed.,Pavement,2008-12-09,206946,72,0.604,0.289,0.604,0.573,0.0406,0.133,-7.804,0.037,107.862,4,
25,Valhalla,Rehearsal,Skegss,2021-03-26,171813,44,0.313,6.19e-05,0.313,0.928,0.918,0.252,-3.379,0.0512,152.14,4,"All the ale you can inhale
All the food you can consume
All my friends at the table
Everything i’d die for in one room
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmm
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmm
All the ale you can inhale
All the food you can consume
All my friends at the table
Everything i’d die for in one room
There’s no way I’m going to jail
There’s no way i’m going to doom
I’m going to my Valhalla
I’ll see you all there soon
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmm
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmm
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmm
My Valhalla
Hmmm MmHmmm
My Valhalla
Hmmm MmmMmmMmmEmbedShare URLCopyEmbedCopy"
26,Keep Moving,Keep Moving,Jungle,2021-03-23,240880,64,0.724,0.183,0.724,0.603,0.000469,0.0948,-6.261,0.0317,111.493,4,"Unless you understand it, then find out what to do
Don't think about it, I'll be running with you
If I can't understand it, I'll find another way
Keep moving, keep moving

Keep moving, keep moving
Keep moving, keep moving

Main avenue
If you're comin' like that, then it's really 'bout time, you know
In a new house, in a new place, if you change
Keep moving, keep moving

I can hear the alarm
I won't take it much longer
(Keep moving, keep moving)
Ah, you're breaking my heart
Thanks for making me stronger
(Keep moving)

So you think you'll find the truth? If you change
When you're livin' like that, you could spin around town, you know
In a new house, in the UK, if you change
Keep moving, keep moving
I can hear the alarm
I won't take it much longer
(Keep moving, keep moving)
Ah, you're breaking my heart
Thanks for making me stronger

I can live with it, I can live with it all
I can live with it, I can live with it all
I can live with it, I can live with it all
I can live with it, I can live with it all

Unless you understand it, then find out what to do
Don't think about it, I'll be running with you
If I can't understand it, I'll find another way
I could live with it, I could live with it all

Keep moving, keep moving
Keep moving, keep moving
Keep moving, keep moving
Keep moving, keep moving5EmbedShare URLCopyEmbedCopy"
27,No Woman,Light Upon the Lake,Whitney,2016-06-03,237973,29,0.581,0.893,0.581,0.4,0.576,0.161,-8.739,0.0291,112.331,4,"I left drinking on the city train
To spend some time on the road
Then one morning I woke up in LA
Caught my breath on the coast
I've been going through a change
I might never be sure
I'm just walking in a haze
I'm not ready to turn

No woman
No woman

Midnight driving through the bay
Going back on the road
Coming up and I wish I could stay
I've been sleeping alone
I've been going through a change
I might never be sure
I'm just walking in a haze
I'm not ready to turn

No woman
No woman
I left drinking on the city train
To spend some time on the road6EmbedShare URLCopyEmbedCopy"
28,Besarnos de cero,Besarnos de cero,Danny Ocean,2021-05-14,148608,62,0.873,0.281,0.873,0.661,0.0,0.0712,-6.104,0.0916,106.998,4,"Ey, uy
Ba-Ba-Babylon girl
No, no, no

Ella me dice que no lo quiere
Que esto no va a funcionar, no, no
Ella sabe que eso a mí me duele
Mi baby rica se me mal acostumbró
Pero bueno, sucedió
Así fue, me dolió
Y al otro día me contestó
Que la disculpe por favor y

Nena, yo te entiendo
Ay, nena, yo te entiendo, bebé
Esto e' complica'o pa' ti
Esto e' complica'o pa' mí también
Pero, nena, yo te entiendo
Créeme que yo te entiendo
Tanto esfuerzo, tanto, tanto
Tanto, tanto, ouh
Y tú quiere', eh, y yo quiero, no
Intentarlo de nuevo, besarno' de cero
Y tú quiere', woh, y yo quiero
Intentarlo, sí, de nuevo, besarno' de cero

Ay, dime sí, ay, ay
Ay, dime sí, ay, ay
No, dime si no hay
Ay, dime si no hay
Porque yo (Yo), yo sin ti puedo
Yo, yo sí que puedo (Uh)
Pero vamo' a besarno' de cero
A besarno' de cero

Tú quieres, ey, y yo quiero
Intentarlo de nuevo, besarno' de cero
Y tú quieres, ey, y yo quiero
Intentarlo, sí, de nuevo, oh no

Pero ella aún me dice que no me quiere
Que esto no va a funcionar, no, no, no
Ella sabe que me duele
Mi baby rica se me mal acostumbró
Pero bueno, sucedió
Así fue, me dolió
Al otro día me contestó
No me contestó
(Ay, dime sí, ay, ay, ay)
Al otro día no me contestó
(Ay, dime sí, ay, ay, ay)
Al otro día no me contestó
(Ay, dime sí, ay, ay
Ay, dime sí, ay, ay)
Oh, pero bueno, sucedióEmbedShare URLCopyEmbedCopy"
29,Black Rain,Home,Rhye,2021-01-22,231266,53,0.859,0.131,0.859,0.446,0.0094,0.149,-8.817,0.0344,111.989,4,"Breaking waves, making waves
Hmm, oh, I need it
Turn around really slow
Breathe some air, take in time
Hold around your neckline
Oh, I love moving slow

We're in the wrong season
In the wrong
You’re keeping tabs on my flaws
A slower pace, babe
Is the way that I love
A gentle song
Take time to make you feel good

Don't see me running
Just 'cause a little black rain
Just give me something, ooh
Don’t you go running
Just 'cause a little black rain
Just give me something

Gentle rays making waves
Oh, it's how you seed it
Turn around really slow
Feel your hair on my skin
Feel around your fault line
Oh, I love moving slow
We're in the wrong season
In the wrong, in the state of us
A quiet sound on my shore
A silent wave, baby
Is the way that we play
I'm loving this
I'm craving this

Don't see me running
Just 'cause a little black rain
You kill me somehow, ooh
Don’t you go running
Just ’cause a little black rain
Ooh

A modern love song
It's such a long time
Ooh, ooh
I’m far away but I'm here
A modern love song
It's such a long time
Ooh, ooh
I'm far away but I’m hereEmbedShare URLCopyEmbedCopy"
